Nro_Tweet,Query,Usuario,Texto,Data de Criacao,Retweets,Likes
103,Palmeiras,Gabriel Amorim,"Vídeo divulgado pela Puma entrega a nova camisa do Palmeiras.

Todas as camisas da marca pra essa Copa do Mundo de Clubes serão assinadas por Kid Super, artista de NY que possui diversos trabalhos com a Puma. https://t.co/W7RsPsA8Rq",Tue Jun 10 10:27:26 +0000 2025,39,1038
104,Palmeiras,Planeta do Palmeiras 🌎,Foi pro São Paulo 🫠 https://t.co/KK7HbGJD6W,Fri Jun 13 17:23:58 +0000 2025,0,9
105,Palmeiras,Jogo Aberto,"A partida é só no domingo (15), mas o #JogoAberto já soltou os palpites para a estreia do Palmeiras no Mundial de Clubes! Agora só falta o seu, torcedor. Diz aí 👇 #EsporteNaBand https://t.co/pWAWFonGZT",Sat Jun 14 14:00:43 +0000 2025,0,4
106,Palmeiras,Planeta do Palmeiras 🌎,"""Defesa que ninguém passa"" 🫡💪 https://t.co/iVwsR17Ijb",Sat Jun 14 01:51:20 +0000 2025,45,1884
107,Palmeiras,Gabriel Amorim,"Veiga mandando um recado pra torcida do Palmeiras.

Jogadores vão viajar com esse terno verde escuro. Na estica! https://t.co/cZ8CTmGrff",Mon Jun 09 11:38:12 +0000 2025,57,2050
108,Palmeiras,SE Palmeiras,"Corre aqui, Estêvão! 😅

Quem não tá ansioso, né? 🫶 https://t.co/UGjX3YW8E4",Wed Jun 11 15:31:37 +0000 2025,74,2202
109,Palmeiras,Planeta do Palmeiras 🌎,O menino treme na cara do gol? 🥶🥶🥶 https://t.co/bQw5UTbCms,Sat Jun 14 00:06:35 +0000 2025,19,749
110,Palmeiras,Planeta do Palmeiras 🌎,@CentralDoBrega Hoje não Central https://t.co/yeT2G9fyv6,Sat Jun 14 15:58:13 +0000 2025,2,134
111,Palmeiras,PALMEIRAS HQ,Minha cabeça já está assim https://t.co/9TSrvESkOn,Thu Jun 12 23:27:46 +0000 2025,9,56
112,Palmeiras,Zumbi dos Palmeiras,"Tá aprovada? E aí quilombo? 

3° uniforme para a Copa do Mundo de Clubes! 🔥 https://t.co/wZFLxtNqoa",Tue Jun 10 12:13:54 +0000 2025,15,602
